address,amounts
0x30d1ef32deaa24267a366d04917ab64f1a155ef6,1
0x103fa452f54c068602a94cb4839bac3d7b317363,1
0x322c1fa7e488d50e5ef28319d2a270e8483c935c,1
0x220231369404755666fa784103d205450ff28e71,1
0xb979b1a9f105cfbd6e4716591a02ee92448ec471,1
0x0f77c6cdaa9ce966d6f7236ff66ac626be9dcc0d,1
0xc3f68e8b9b766f3d995d0825b9f07c7b9947e690,1
0x2c883ee6e16e3817801c92f9fca920f18520ba08,1
0x30ee332d267676de34e742b8e2b2b8fd2c959b8e,1
0xc5a34a3eca513a54c6a0d3ddb8eadf5029fd266d,1
0x31efeda4b099db71d43d5916b30c4ae385f477bf,1
0x988c4db89049ad971ca7961abca0b2884f0394cd,1
0x55fccb4aea323c68ccb2d0db23598ef0589adc5e,1
0x0d8e159080c54e8a226e0174233a2b7b0c7d0ade,1
0x568cc9976310aacce2bd22709ccde920423bc836,1
0x5f9e9336103169f0d97dc33d326be7944df0d6b4,1
0x0a3e605489353ed7727b364d5bb0d1af07a7a559,1
0xa7013c1da25b24a50dc2b37d04a26105bfefb9ea,1
0x7f137b7fd49af1c10c181e483be6cfc92abd9eaa,1
0xf76aba30ce1151a36bf428e7065561ba65c85e07,1
0x2bd3efdb644b0906a8e5a2f583c78ecbf4fbfe0c,1
0x9464bffb267927bebca49d97a6524307666b224f,1
0x6251368a6ea01463a7834cd5bd0316ded21e2c98,1
0x83aad6601d7664b4173c511a1c0cee74e4bf2bda,1
0xd1c73c9f6e63cdad1f64f7929f79d502fe1bcac3,1
0x2b99123bace02d1177421ca49b1caae896811c0a,1
0xfd922734dbbf41a62523a386d8770ef47acc7b4e,1
0x4548c159c087fd28a10e8a535bf8e218f75b13a4,1
0xae2bc06d0d7e4fa7f91222dde1ab1330d249ff4a,1
0xaa231461a5918e3ecafd6d365e925172cd1dcff3,1
0x4ec840f454769bca188d0dd6ee325199e6106503,1
0xd9fabfcf2f9d3777aa03b7f8f6e028bde7accdcc,1
0xf357ac2ebfb303274fc86975c68f6980d532f880,1
0x34a122e633687aeef1c43d1bb0012cca624e4551,1
0x043fa6c656fbef1c121195c03dc8c82b85982d23,1
0x995e62781f3589565d21d3dfcd10cc3ad3a0045e,1
0x60f7b9ad65a7dc325c15b9f71ebe02af42565843,1
0x3e726a86ed0ba16adccbc117ffb939169ec35891,1
0x01260e78744ea05c016de33d62ffb8a9d534100b,1
0xf3517927f2277746c0736cbf675119e5229ebecf,1
0x93f451459aea9d7c813c4136d2b6f169dd07da59,1
0x53162b447623924c8f4f960fffbd54e504dff545,1
0xbea076168778bd1216d11fcb2b80e7680cb4c59d,1
0xd9d79c95da8d5789bece718124d050b8bb8b9f8b,1
