address,amounts
0xeea5c65b619f4c96d9f1f083741c6ad058fcca63,1
0x08e7b4edc18701c5f2f954e7aaf9d92f57429248,1
0x39b004f0ebf612833b9b20332a4cabec6f305f5d,1
0xbae4a5d5001f67eaaa0fcf81a14f53dc3e5be0f0,1
0xe71d56e80e6ba948a2126c817454a9259a194d76,1
0x8343ff1e778ee05d5a31456fbc95edbdfeee595f,1
0x3de6d17edc1cc00a24739d7c0de4cce5ce1ac8cf,1
0xe270c4d23744fda1d05cffef01112e486c008293,1
0x8e3452d8a7d046318e0df4137026cad1fa0be13f,1
0xde6897c366e746c83aab9ce76c08ed289f3adb25,1
0x816b2ce729dd729ab339a39eb0718a4a59cd73b4,1
0x0206f6a97a156f36187a16bb89d736ce66185689,1
0xfab98282c4f8e56130ec100423ed5b20885a358f,1
0xb6425798ce0d46782dd9702c79387e787b6dd586,1
0xba26bfa36246a52aa7dbf55eb8b2299fa56b8ccc,1
0xb4c0224cf01c379dfd286559146cf62137dff973,1
0x233a959f7f27131dde6977b917dda6e447f8d6e1,1
0xb80d8a6f8e3c72257356f29b63e21e47deec6500,1
0x2d7af28e3241245013ca27017beb0c1d3023b841,1
0x9c6597a7aaf07f0b89ad4134f564d01a567efd8b,1
0xfae46a79ecd014ec05a478a9dc8c4f577534d350,1
0xdd5253b61373f7726bbf31e4477cfc7ae92d45e6,1
0x7e014f982ddf8cf9642121eaaab7838862da6123,1
0xbb7f6aadd5b8d79e748652384a0005e6e91c8051,1
0x204a7054a853bf5a4f5b0572b2800274daac6357,1
0x60e109e9629d95483356fc972d35684ecfcaffa7,1
0x585f9d23d598342d408a9df07b8e1e3f35dc155c,1
0xd6b9940dae63ee780a62a81b581f2c11ba5b1529,1
0x6101f9e74c899e243e6ebcee663afcbf71aec075,1
0x276b92abc82c0a651635883da6f11a343674462b,1
0x55af1b41eb47e89a7686d562c1d828c9179ee861,1
0xbdade9b8d91490b5e6876ef5510ee3c3c7f4a11b,1
0xae6d7368e3b355aadd26d444649e0f234422a9a4,1
0xc5a2f74c916f6f7ff536b4b44219d53ccec277ef,1
0x9be21609295b8655dcbefd744ed837fad10f947f,1
0x6287de8e4cb9740c1ef1b46f94725811103204d3,1
0xa018ab4b92a8f9b88793e5ebab71c5405de441f7,1
0x63072db29e716733fe1e9f455df29fc3ed5fc186,1
0x18277b84c67cc1d65fcd1935db460cceb1023349,1
0x95fc2a8cdd8194dec32a87f1d3f9f45789aeae9f,1
0xda3a57c4d9f0539ded9521014be5810b793e1bfb,1
0x08bca9241727eda01ad090166286f00986c95a93,1
