address,amount,
0x29572d7078d01a478fa7104a6d454dac3bfdcecf,29.75,
0x943fba84e1d109c66ab2e2059ef00da3a75b2512,29.75,
0x80166ef38a42a3c5d565778b5178eb4cc134db21,29.75,
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,116.45,
0x13c07804a8fb2b9270af54cf6c3e8b9f9da57ae2,29.75,
0x00f33c3bce1b479bc7ffacc986badced8b2d7cad,188.7,
0x6995480bb8144c5e59c3b8c45bcf6fcb8a2eb5ce,29.75,
0x1a26db1b2baf0b23f18e19375e8fdc159feb707e,29.75,
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,125.8,
0x2fe2b21e1fd83947baaef67dd4e8716f6882c93a,29.75,
0x38c271c9fc3a0e244a752b25a31d93a63767d567,243.95,
0x7e3ecc7f4e144530926201651bbc96134e651f07,29.75,
0x15a3313f8efe26a242327ff343619c95b07cd112,29.75,
0x65e72cafafce1e0aac8f1d3f24a0e75bf629552b,29.75,
0x460782d69ffa59260b13df6ccb1a5e3557a583e3,188.7,
0x2ef905fcdce25f03c12039e95262d81e318b2a4f,19,
0xf811c7cda02d03012577d45d9cbfad4358d5390d,94.35,
0x40cd44571d014990da293f6438619e507335f92a,29.75,
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,269.45,
0x9ebdc1767b0c33878fcdd20db734b28e9bab9e28,29.75,
0x3bb127d57540e3d2be0bb6ac7425e6219e0aec43,29.75,
0x53da49f96ecf3096b1cf72bf7fd8f24cdf943002,62.9,
0xd60d90acd08d2343064d0828d4fdbd1a9391a19d,29.75,
0x27896bf9976b4d1aea4ddc24280df0a2be6d675d,29.75,
0x61bb2dbcd19135d133fc277b29737ceef1fe10cb,255,
0x066fb187404feee6ee7f6cde21697cea1a89ec23,239.7,
0x8af0225f987122e7ba6438b9579f6ace5a1b58d7,29.75,
0x2434a3896ce832932672e9c0f7c35f0f34e04206,377.4,
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,155.55,
0xbe4aa0296b2b217d03ddfff792675cfca96a95b4,35.7,
0x0b5e6eb07c5a55183cea0136b1a486bcb95a89fd,29.75,
0xb4ff3f099274d726ea76642267fd217eeba8c0ec,29.75,
0x4abd7276c53279b3abfff2b5d8a47c0afc84833b,765,
0x43f93335a7e6b38983d6c4b072c5f2d8feaba87c,29.75,
0xde59dde7c5428ba29c7461338f4a6f45637c792d,80.75,
0xd938b623ba89ddb2e17d8c673ea48939ad7dd7de,269.45,
0xadf2d479577dda9a332e14eca095969b143b7c67,188.7,
0xac284ecdcea995fc433378f91561876da2a7208c,17,
0x786e4850cd0c961cc28695c872cfe4ba3f74f150,188.7,
0xdf2007f7a44cc740743c0c3a1b9a57937a5f46e4,29.75,
0xb512db75dc47bd45bfab223399d6a65010f24ba8,34,
0x9914ebe74e46c6ad4d7b933eb49bf17b1a299e77,29.75,
0x8e52fa5659c3d448e47e166353dcd5f17fc43b99,29.75,
0xce18d9ddfd5708251313bff5e88f929aabc8c53e,29.75,
0xc26142ed582efcd2d92b5ee6af662006ce052640,51,
0xe83d3a3ff1a84eee72d1db90b72137cee658193d,29.75,
0x9f7373ac91a3b16afb5c5609f51d6de7864951ad,29.75,
0xdebdb6d731d9e4bc3aead5358ea09ffeea2fdba4,29.75,
0xa30ff788ebac2878dc36ec379e55deb02c44049a,125.8,
0x46a6c4fdbbf98f7520f870723960f2a4658ecc82,17,
0xe4586671d696a1b543be1f25ce8c4371e6dd5220,33.25,
0xdd8804e408a21dc344e2a480dd207dea38f325ce,405.45,
0xf2c38389029df15bac7d81c9959b67787218202d,29.75,
0x1b4d07c5388129ece609e69a701ae4007ec0d660,29.75,
0x2328a3af1f83e92cbbb8981f29ac355b39cff533,17,
0x5dca83ae634bf6a34e4e232928477cf25f6addb3,29.75,
0x7a52f357732da1265067120d3de0795be1ee1bc7,134.3,
0x3c96cf8efe0a1ffd23a369409c2ab53ed7673138,29.75,
0xcc494a8aeeddc305a3b0bb8d862a4b78f0b04680,188.7,
0x51485fa8d8cc9e23966fd90fc6405ef82a85e246,51,
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,222.7,
0x3a20cf3ef8ac682ab077e7f4aefc10af6d0c3477,29.75,
0xda6064f99d76b75ad29d9d03251884ded8320f85,29.75,
0x6dcc1593c9156ed9ca35a852dfda02d7a724b306,222.7,
0x4236d3f557c72c33d132c7d3c1245c6f8a7333dc,17,
0x8af76bcb6dddafc088c239eb118355feffcce0b2,46.75,
0x90ba6feab074c62c1d16e1aa635f100bda45d3be,29.75,
0x3b60d6cd5f484f96e090b176a0d6ca4bff09e3dd,17,
0x0d63f3fa2574e7cf72f996bf1633b651b4c02397,188.7,
0x86dc15745c5decdc4b885932a110e1169af01bcf,29.75,
0x50d1f2a1767d6adc6801ce7f303944eaa7321af3,29.75,
0x68cfeb54dfc57f6418fbd862a3164a5e63a1a4ad,29.75,
0xe01bb9ff9216739934e3d79881b3bc5caa4464fa,29.75,
0x01b6d16349c783dc29fe055f0ab4f2cc9dcae9ff,29.75,
0xc2933176a9be2116721a2681e042111ad22f8266,269.45,
0xaaba0a49d178e9cb53068f2df10a961b222af43c,29.75,
0x70ae78e5d4c4fa2eca26753aeedc19a0da211885,29.75,
0x5dc259ccfe757591fb51d6ebdcff6696db208086,23.8,
0xe07673f8c895348fbde720dbea0a967eb1c72f60,188.7,
0x5d437063ab4d1f6014832dc17c5166bc8baeffb5,29.75,
0xd53d7a2a60af71f1b1f44484ce48b98ce3f695f2,62.9,
0x19d6e982e884fd8006f50dc3a306bc11b2541bee,29.75,
0xa27a5c0ef8054c74bd754df940b2eac1e2bbc352,29.75,
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,239.7,
0xbea48ed996bd35296886dd1fa7f14c455b77ccac,29.75,
0x7aafab99029423c6b687a682ccf2823c1c9d5781,51,
0x965c76ff9a5550e5b015f6e224392fd2a06c0239,29.75,
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,80.75,
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,175.1,
0xa517f6fbfc95cdf1918c82c28dad10af101e18f5,29.75,
0xe728d9911874adb8e6a56f35e23a3670671a3901,340,
0xa2b4be559db08800b988932b88b27d026bb8aa30,239.7,
0xb302819e70180c339ced97de9fbbc7a1e71fcb96,125.8,
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,69.7,
0x5b9d40e56a7b50e9ac8ce60fd029f9c7d9404e7f,25.5,
0x5c216d7f402b3f41eab91df35732c8994348536f,29.75,
0x10a4e15984f2758f1d1fdb3bb1924b6f72727e82,29.75,
0x8caac1cd3de19fd5b1acaa79e5b157df30f7fc0d,407.15,
0x334f03ebaa3b292b4caba803f10e515c5165725b,318.75,
0x514533011d165c0f503815fb684fe73005cba7d7,29.75,
0x92caa9016b6bae7a6cd5db082d5297a3feef8517,29.75,
0x10716aaffd2097228c78fb8a7d844eabc85497f5,595.85,
0xdc1b82a6181cbe5d32ad015461ebcd692da6046b,29.75,
0x2282ecc111b7acabe470053d4a09472bc07b8d00,407.15,
0x2479478c31a50de37fda3596f92ed557f28451a0,116.45,
0xa1beb350a770aa731dc674d11d487de582f518d0,17,
0xa1beb350a770aa731dc674d11d487de582f518d0,29.75,
0xbd679cd7d85620ca626e49a3e1eff3c79a3e3f00,29.75,
0xe0bd2c9c0ccdbef8fcfe94f85c88efe2a6610dc2,340,
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,125.8,
0x9c8da3f07c1e1364955f4fbdc6d09fd1a0025372,29.75,
0x190926679be26af47c235e0c41f204ce0d0529f5,29.75,
0xe622688951c465b4bc09412a0adaf5c666beecd3,29.75,
0xf6426ed102b8b18e6b5974e17356194dc593f732,29.75,
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,125.8,
0x2020b2cddffdbdb6411bbc6052463c9a687db434,199.75,
0x94d1879566ec4ec338e34aa151fe250545068519,29.75,
0xbb6b5c612b1715bdeae2a1931cc7fefbb4d02bf7,94.35,
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,188.7,
0x9404411bbada0c2ddd9d855cb54e4921897c93fc,80.75,
0x43f93503a26358e8069ea25fd92c1c389d0b2c33,29.75,
0xb200ac08b491345da6663441cbe1732cb6268bf7,29.75,
0xc23cb9b68fcf2017a98a028f2c451c9f45b95db4,34,
0x5d5f944b72d48e60fe5f43dce888bffda40da33e,239.7,
0x06e8d7005f8a5dbb94067bc491cafbd271453b94,29.75,
0xd3ab2eabe167243fb70b8b7241a6cc84dcf9419c,51,
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,148.75,
0x6080548033d259722ca0e6846bb3fc41a7193a8b,82.45,
0x6a72a8476e9b44a52963bff7cbd87badf375b739,29.75,
0x8faec06879b2bf88c564c9ec23420bc857619be4,29.75,
0xfb40932271fc9db9dbf048e80697e2da4aa57250,188.7,
0x3e5f4ac0946ef11775835ada6d6bf7966677b7db,29.75,
0x598b13dc1d5feeac4dd55d55aa8bbdec23a2816e,29.75,
0xf5b35cb4100c907f35131858200434e92adce9db,29.75,
0x9f9dd6d00048248517bc788c9cee008e491f89cb,34,
0xe2576fb4aad6b370799ab53ec1b0d49b76a2d5d5,29.75,
0x098b987a34949ed61e9dd99ebc7ee926e2352956,29.75,
0xbda02bdf817d45be94bb27686f0747467343d40b,29.75,
0x3545cf9c8167c3c128c985c00063e777427db0ed,29.75,
0xa0350d547d28f88e443fc835816d6a58a5199b2e,29.75,
0x91cfacbba9825a73e442eebd0f3806a0e472c9fc,11.9,
0x45713cca0f932cd705241c1ef708363155f88a0c,170,
0xe0d5c6ddc8cd4a98879475a5a987c2f6e6eeb28c,29.75,
0x0e79c15e77dee37072d33ac73c0ca18d0949fbcf,29.75,
0x67b271e10dc48754863723981cc97afa3a034170,188.7,
0xff14ce4c9e8e2b9c30abb7da622a793f8eccbec8,29.75,
0x25255303b0c2aca088a72e4634f0089d94d35d63,29.75,
0xb257b8260a31c2cca3c37a086098804d8c9ce4c3,29.75,
0xa7d9ebbbd4726d5150cee21614f0da56a5851901,29.75,
0x83f12a8dbbf4886c97741c1de9e09f7a16d30a3a,29.75,
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,188.7,
0xd586faa55f787518b0feeff12788f40ca7d01f74,175.1,
0x70ba4c92ca2edcbf777f0b9274904fda7f1270f0,29.75,
0x03629cec6cdd3a66cf2f2b588246566a5bd8f048,29.75,
0x8aac62eaa788ccac65b41c480c8d6fe6805eb2ce,29.75,
0x03b371e360515047689ba468b530353dfaf7c9d0,29.75,
0x2de65bb4308f5d26fdeb62ed679015f990e42067,62.9,
0x797d13e3c2ec89caac0248f4a373b86eac8a8dd3,29.75,
0x7d92ba41abb9f200256e16ce4c14d58776cf20a7,29.75,
0xd456849bc9f3399bbf261d1f4481af0f0b660347,29.75,
0x7b1130198fdac69d34229c68da8d0d5b650cfc79,29.75,
0xbf8f8efdced05b6a264dece8612dd719a86ca2d3,29.75,
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,407.15,
0xe2bdfcc3a81343ce7d3897f042409c4bae3370d6,29.75,
0x3eb4b506a839b33a4e5d8719a4150e478083d550,80.75,
0xfb4605b466e5dceae42a431b5ce72565e0abff56,29.75,
0x238c832e4d1ffbe65941a62d47cf44f7fbdf895a,377.4,
0x0829032ba968c222c9442d0d58ad00bc1611ea71,74.8,
0x9f77f69848852c1a2fc529d2663b05af30559ad3,257.55,
0xb7f838dd68f82a58dc03ae8192f83c6913c0b9a9,29.75,
0x2760022ffcd35133962f0aaa71fbf1c5d58edf92,29.75,
0x729d1b8647a0898db6f83aae967e6470aba6250a,29.75,
0xac64fcd3170e5075c69e901af47e20740e86f8d6,39.9,
0x4ce909b1b26f526109364aa778b5b59af27cd6df,29.75,
0x8ad30f7b91d596f73723e1fe7873c3c26b7cf79c,29.75,
0xd671f3c3a33a2c57061f7ca889f6819540c3d017,29.75,
0x548d500e7d1584aff5c4e51d49bc52cbe35dc80f,11.9,
0xfc2a6dc28732e507d64b381b121a0c395859050c,29.75,
0xa9740c509f10bdb4908507345cace1288875a7de,62.9,
0x99684635ac3c27588ffd7b0e45180c6b76cbbd1e,29.75,
0x9c493d6d37c243252a496798b54556e9b53dfb52,29.75,
0x71c79210bd47997a6991a6bc1b3e8b6572a20b85,29.75,
0x154524609db6ce7fe8d590d8fbcdb3180d53e872,29.75,
0x0d61f0a2b168d38292a6e10d85a2f04b34d65a3a,454.75,
0x1222aca63b8b3d9620cb552ca0ef26255bff18f0,29.75,
0xfc06ce5661450365b5881796b733395b35806a62,29.75,
0x7c65d8bafabd5a347d6b174923bfccc53187abd7,29.75,
0x5b9fa1f2bc635944427bffe15003e002429256ad,29.75,
0xef42e3bd1e0f3c79fe7915f4a3a76994d058a4dd,29.75,
