Wallet,Reward
0x6dcc1593c9156ed9ca35a852dfda02d7a724b306,25.5
0xbd85a830fa5381e2c80c276f5c258d2e9e59ad93,2375
0xc2933176a9be2116721a2681e042111ad22f8266,7709.5
0xaaba0a49d178e9cb53068f2df10a961b222af43c,42.5
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,8500
0xd53d7a2a60af71f1b1f44484ce48b98ce3f695f2,85
0x7ba2b0aabe15a69b112b4f47a7eeb3b17a939d91,25.5
0x386fa601a6b8a5b602efddf089fe734bd6a0481e,1275
0xb870f75ecef5dc08da432dde71c4691617f3d7ba,170
0x7aafab99029423c6b687a682ccf2823c1c9d5781,204
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,170
0xe728d9911874adb8e6a56f35e23a3670671a3901,425
0xdddfba98691e31ca04c2d7e0ca44d4118639086a,2890
0x3931b1cf1565601b1359750d4d1bf8857b46b514,467.5
0x6835cb8b14833563d821c1def3c83209828c3d1f,42.5
0x23ea05935b6ed367059cecfe357700b27f649471,42.5
0x8caac1cd3de19fd5b1acaa79e5b157df30f7fc0d,42.5
0x334f03ebaa3b292b4caba803f10e515c5165725b,561
0x10716aaffd2097228c78fb8a7d844eabc85497f5,5225
0x2282ecc111b7acabe470053d4a09472bc07b8d00,1530
0x6886f33bc57019890ef08a6056c966b5b8fc1676,85
0x2479478c31a50de37fda3596f92ed557f28451a0,595
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,255
0x3f657d19a7f269f70981d7797fd3865c47b66461,42.5
0xd3c33047c8913dd6179e355e054efed5db89a699,850
0xadaae3a6b440fa6d7cc5992eb11c34e1a1a0264d,850
0x07b85d40e253bf5c6213a3a506e45fcbef44400e,425
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,340
0x727f2ec0e203ed0c223e44ed5ce8c5dc67f47c9f,212.5
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,1700
0x9404411bbada0c2ddd9d855cb54e4921897c93fc,51
0xa3bf8670428827425421758126e197790781e97d,42.5
0xc23cb9b68fcf2017a98a028f2c451c9f45b95db4,195.5
0x5d5f944b72d48e60fe5f43dce888bffda40da33e,340
0xa8955d4a074ea900da7836b8403096881f8d63d1,255
0xd3ab2eabe167243fb70b8b7241a6cc84dcf9419c,862.75
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,427.5
0x6080548033d259722ca0e6846bb3fc41a7193a8b,102
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,7862.5
0x63db64c96747a5386b801840a3e3fa4360e0427d,1062.5
0xdcea3416def719024d75a69ed7fc156dabe3738f,255
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,3825
0xde29bb2e66f1731b187919bb34f4dd793cebbe86,1700
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,85
0x23d344a3fe9450753324523425eac8bb6754eb8e,1428
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,95
0xae1a1cdb13ec86506831531d9e52456b2c0eb625,380
0xe20254111032f19fff333fc59faf2b0d4dd79d41,467.5
0xaadc3dffe020571dcfc10c55ffd76abfbea5bfd8,1140
0x69776e601226eaf07d8a5455eeb53ec63a2db8de,850
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,850
0xd586faa55f787518b0feeff12788f40ca7d01f74,1657.5
0x4f32c11b890a49ed6e5e8f5ec2ae075034da1895,4250
0xc1ee59265efa7d13f8592cddae514a5be4cdf4a8,2720
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,2635
0x1e58f9f9296b934d1012cd6cb81c08bae83457d0,2550
0x3eb4b506a839b33a4e5d8719a4150e478083d550,171
0x9f77f69848852c1a2fc529d2663b05af30559ad3,1572.5
0x1cc85e5ee3c566232f352c1dba885cafe4e9e015,1912.5
0x278b4f3aafc3d731613db41c9de0e43d57ea0143,1955
0x5a398d52f412d97ac5852fa327ccd425737d3633,4590
0x8bccda800f9a9cf747dee7cdb286dd11ed44f149,5822.5
0xa13a83fc3384d4c694168503541d268b4377931f,2550
0xa9740c509f10bdb4908507345cace1288875a7de,3825
0xc6888cdbfbfa620b4e078933415bdc5d59d2c9cf,850
0x0d61f0a2b168d38292a6e10d85a2f04b34d65a3a,1105
0x5eada99777f4b3df0d5b499c7912a480cf66e7d4,2890
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,2847.5
0x2249c7eed5cf914d391916e2736774bfb5db4905,2635
0xf2f0f4401805f8ad619d20ceb096f61149458abb,765
0xdedb6039f564d50f107d6c27794cd2c283e878d0,5700
0xd5399174196c84c0b4ac6be0785781da80e1a941,1870
0xe33dbd79e98d70ce847160222d96b10cd0c53f31,2550
0x97a9871bf7cc80a01a85b2bdabe9e2534075a238,850
0x0e9004129dadd7b715f288f9fcda79ed755b8271,850
0xb4d16a615fc41496dd27e9cadbbf3340c2bc1203,850
0x58744c370a9732af07dad1152f1cd4fc034e180a,7650
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,25.5
0xfb5959e3f9401033273ce1009099df6f0f972030,684
0xabec91ed6ca19a29c5a3153969724a892703331c,42.5
0xb68ce8b4d0c5818703aa188c8f7345f3268ed8f6,1530
0xbc627254fa9e73117cb70e1d4eed610ba0a9de0d,255
0x31ff43d8bde35e98510ab82ce0017f0f5ff2c271,4972.5
0xcace5e30546142711498ed300bf7ac0acadab787,425
0x44c1626309417dbd6a81e91a212897b66f6202c9,4675
0xa25f4884b4fff5a8fe9048b2f1334551acfa6ed9,2167.5
0xcd98c89b9657d3f6576e4ba35600b3852189815e,850
0xf9f7357c3d62e14da35c0f3a98f95b44ea54ece0,5950
0xe4c11beeb836cc6653410e147be97618ee95be4e,42.5
0xe4a2829f4c688996233a933ced1940ba0701d17c,272
0x87352af26805176272dd48a865e0dcd31151aa22,4250
0x0b59ae45ce4a24c3cd643cb5100553c23e3463c6,935
0x86e451e30dbd1a0b2e543158da98f6c67e2cfdbc,1232.5
0xd520d01a6d2820464d8b2a19f54011b05237d44a,1487.5
0xa4ec20c0751d78777274606d0d71304d1c191f96,475
0x48445cb720fa42d164f38075be7cc2586bf698bf,425
0xe9dd8b36c7d843e811601360b836bb73aced82cf,765
0xfda77411e0c12df5224d2c958caa111ea5b45329,42.5
0xc76a7a1bbab227ffe3f1a098c5bd7e62e128fd7d,170
0x7bece4d49f1cec6f8a054a3ffafbcd91c8d1c8db,255
0xf3ea5d2df647e575b55a7e2aa7af907f90e1058d,425
0x98b8e4868d9f5c17f15195bc4ad23a4bdf8dbb0e,42.5
0x2002db5efdc6e30ac611bc0303a5b6e4a3cfb2cc,1700
0x817b2c0d8e0bf218616784385777738c319413d1,5320
0xe1d844df2e79ea2014d8bb6817c98dd01d1a05c8,425
0x348d9548a65fedfca6dc605fcd6fca5b6c22b607,212.5
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,170
0x00a9b763ff87ae5e9c6312779456144a06f6200f,1785
0x04befa0087536e99fb1a9bde00c4a6f9289eb6fb,4250
0xb46fc464d15eadb6d9cdc9decfa17402c0aabfb9,255
0x2c25a6cd94fe71002ca711874a54e9becb786d10,170
0x2fb8ad61136bd6d668f9bff7a9f6066b4ed907d4,7650
0xf3955d548bebc69bb8776f3b650c1cf10de9ade2,617.5
0xc758397c40f8dc4dcc140141368353c8d8fd373c,42.5
